Name,Market Cap,Multiplicative,Share Price,Country
Lonza,47.31,1000000000,637.01,Switzerland
Motorola Solutions,47.00,1000000000,280.25,USA
Woodside Energy,46.96,1000000000,24.73,Australia
Life Insurance Corporation of India (LIC),46.67,1000000000,7.38,India
Sempra Energy,46.63,1000000000,148.20,USA
Microchip Technology,46.62,1000000000,85.49,USA
Kimberly-Clark,46.45,1000000000,137.68,USA
Hikvision,46.22,1000000000,4.94,China
Republic Services,46.09,1000000000,145.73,USA
Arthur J. Gallagher & Co.,45.80,1000000000,213.78,USA
Atlassian,45.69,1000000000,177.80,Australia
Autodesk,45.63,1000000000,213.50,USA
Kraft Heinz,45.39,1000000000,36.99,USA
AutoZone,45.27,1000000000,"2,494",USA
Keurig Dr Pepper,45.15,1000000000,32.17,USA
Constellation Brands,45.08,1000000000,246.03,USA
Kotak Mahindra Bank,45.03,1000000000,22.67,India
STMicroelectronics,44.99,1000000000,49.99,Switzerland
Johnson Controls,44.91,1000000000,65.47,Ireland
TransDigm,44.81,1000000000,815.89,USA
BASF,44.70,1000000000,50.03,Germany
Las Vegas Sands,44.67,1000000000,58.45,USA
Sika,44.58,1000000000,290.11,Switzerland
Dominion Energy,44.58,1000000000,53.33,USA
Phillips 66,44.56,1000000000,97.13,USA
Banco Bilbao Vizcaya Argentaria,44.44,1000000000,7.45,Spain
BTG Pactual,44.37,1000000000,3.12,Brazil
Hoya,44.12,1000000000,124.80,Japan
Apollo Global Management,43.73,1000000000,77.08,USA
American Electric Power,43.72,1000000000,84.93,USA
Zijin Mining,43.61,1000000000,1.69,China
LG Chem,43.61,1000000000,584.80,S. Korea
Constellation Software,43.59,1000000000,"2,057",Canada
Anglo American,43.53,1000000000,32.52,UK
Samsung Biologics,43.41,1000000000,609.99,S. Korea
Biogen,43.05,1000000000,297.48,USA
Pacific Gas and Electric,43.03,1000000000,17.40,USA
DSV,42.79,1000000000,199.37,Denmark
TE Connectivity,42.74,1000000000,135.65,Switzerland
Trane Technologies,42.65,1000000000,187.06,Ireland
Jiangsu Hengrui Medicine,42.56,1000000000,6.67,China
OCBC Bank,42.53,1000000000,9.46,Singapore
MetLife,42.50,1000000000,55.50,USA
Truist Financial,42.48,1000000000,31.90,USA
Simon Property Group,42.21,1000000000,112.79,USA
Volvo Group,42.13,1000000000,20.50,Sweden
Capital One,42.02,1000000000,110.07,USA
Aflac,41.95,1000000000,69.43,USA
BCE,41.68,1000000000,45.70,Canada
Copart,41.67,1000000000,87.28,USA
Hess,41.62,1000000000,135.56,USA
Ørsted,41.55,1000000000,98.07,Denmark
American International Group,41.47,1000000000,57.30,USA
Maaden,41.36,1000000000,11.20,S. Arabia
Realty Income,41.32,1000000000,61.39,USA
Valero Energy,41.28,1000000000,114.21,USA
QNB (Qatar National Bank),41.13,1000000000,4.45,eu Qatar
Archer Daniels Midland (ADM),41.10,1000000000,75.48,USA
Paccar,41.09,1000000000,78.63,USA
Exelon Corporation,40.98,1000000000,41.21,USA
Paychex,40.95,1000000000,113.59,USA
The Travelers Companies,40.82,1000000000,176.75,USA
Corteva,40.68,1000000000,57.23,USA
TC Energy,40.64,1000000000,40.59,Canada
Larsen & Toubro,40.60,1000000000,28.89,India
CIBC,40.56,1000000000,44.15,Canada
Japan Tobacco,40.49,1000000000,22.81,Japan
First Abu Dhabi Bank,40.30,1000000000,3.65,eu UAE
Energy Transfer Partners,40.27,1000000000,12.82,USA
Wanhua Chemical,40.26,1000000000,12.82,China
Block,40.23,1000000000,66.51,USA
IDEXX Laboratories,40.09,1000000000,483.03,USA
IQVIA,40.08,1000000000,216.02,USA
CITIC Securities,40.06,1000000000,2.86,China
Universal Music Group,40.02,1000000000,22.07,Netherlands
Alcon,39.96,1000000000,81.27,Switzerland
Welltower,39.96,1000000000,80.41,USA
Foshan Haitian Flavouring and Food,39.87,1000000000,7.17,China
Fomento Económico Mexicano,39.78,1000000000,111.19,Mexico
Prudential,39.77,1000000000,28.89,UK
Grupo México,39.70,1000000000,5.10,Mexico
D. R. Horton,39.70,1000000000,116.40,USA
Suncor Energy,39.53,1000000000,30.14,Canada
Carrier,39.13,1000000000,46.88,USA
MediaTek,39.02,1000000000,24.52,Taiwan
ON Semiconductor,38.93,1000000000,90.15,USA
Nordea Bank,38.88,1000000000,10.85,Finland
Haleon,38.87,1000000000,8.42,UK
Danone,38.83,1000000000,60.54,France
Cement Roadstone Holding,38.83,1000000000,53.14,Ireland
Asian Paints,38.81,1000000000,40.48,India
Yum! Brands,38.81,1000000000,138.58,USA
UniCredit,38.38,1000000000,21.08,Italy
Kinder Morgan,38.30,1000000000,17.04,USA
Wesfarmers,38.28,1000000000,33.74,Australia
7-Eleven,38.27,1000000000,43.33,Japan
MSCI,38.24,1000000000,477.73,USA
HCL Technologies,38.22,1000000000,14.01,India
Samsung SDI,38.10,1000000000,267.61,S. Korea
Mizuho Financial Group,38.07,1000000000,2.98,Japan
ENGIE,38.04,1000000000,15.72,France
Nucor,38.03,1000000000,151.41,USA
Murata Manufacturing (Murata Seisakusho),37.94,1000000000,60.26,Japan
Sun Hung Kai Properties,37.94,1000000000,13.09,Hong Kong
BAE Systems,37.75,1000000000,12.37,UK
China Tourism Group Duty Free,37.70,1000000000,18.28,China
SMC corp,37.67,1000000000,584.09,Japan
Dow,37.60,1000000000,53.16,USA
Budweiser APAC,37.59,1000000000,2.84,Hong Kong
Holcim Group,37.44,1000000000,66.73,Switzerland
CITIC limited,37.41,1000000000,1.29,China
The Trade Desk,37.36,1000000000,76.43,USA
Banco Bradesco,37.29,1000000000,3.51,Brazil
Hilton Worldwide,37.26,1000000000,140.81,USA
Sysco,37.25,1000000000,73.39,USA
Williams Companies,37.19,1000000000,30.53,USA
Seagen,37.18,1000000000,198.32,USA
Naspers,37.18,1000000000,35.45,South Africa
Lloyds Banking Group,37.16,1000000000,2.27,UK
CITIC Bank,37.14,1000000000,0.86,China
L3Harris Technologies,37.05,1000000000,195.57,USA
AmerisourceBergen,36.99,1000000000,183.01,USA
Axis Bank,36.86,1000000000,11.97,India
CrowdStrike,36.78,1000000000,155.14,USA
W. W. Grainger,36.74,1000000000,732.43,USA
Ross Stores,36.73,1000000000,107.84,USA
Otis Worldwide,36.62,1000000000,88.62,USA
Hyundai,36.42,1000000000,41.82,S. Korea
Rockwell Automation,36.27,1000000000,315.80,USA
Jardine Matheson,36.25,1000000000,50.28,Hong Kong
Cheniere Energy,36.20,1000000000,148.68,USA
Hapag-Lloyd,36.15,1000000000,205.71,Germany
Dell,36.12,1000000000,49.67,USA
China State Construction Engineering,36.04,1000000000,0.86,China
Dollar General,36.04,1000000000,164.32,USA
Centene,36.03,1000000000,65.66,USA
Ametek,35.93,1000000000,155.91,USA
Crédit Agricole,35.87,1000000000,11.86,France
Agilent Technologies,35.77,1000000000,121.13,USA
GE HealthCare Technologies,35.76,1000000000,78.65,USA
Xiaomi,35.75,1000000000,1.41,China
Old Dominion Freight Line,35.68,1000000000,325.46,USA
Fanuc,35.62,1000000000,37.38,Japan
Maruti Suzuki India,35.53,1000000000,117.22,India
Waste Connections,35.42,1000000000,137.54,USA
Nu Holdings,35.39,1000000000,7.54,Brazil
Kuwait Finance House,35.31,1000000000,"2,410",eu Kuwait
Sea (Garena),35.30,1000000000,62.08,Singapore
Adani Enterprises,35.25,1000000000,30.63,India
Bank of New York Mellon,35.23,1000000000,44.65,USA
Xcel Energy,35.17,1000000000,63.92,USA
Electronic Arts,35.08,1000000000,128.66,USA
Kühne + Nagel,35.07,1000000000,293.25,Switzerland
UOB,35.04,1000000000,20.92,Singapore
Manulife Financial,35.00,1000000000,18.99,Canada
Newmont,34.83,1000000000,43.83,USA
Deutsche Börse,34.81,1000000000,189.46,Germany
Flutter Entertainment,34.63,1000000000,95.25,Ireland
China Pacific Insurance,34.62,1000000000,4.00,China
Palantir,34.53,1000000000,16.30,USA
Telstra,34.52,1000000000,2.99,Australia
GlobalFoundries,34.46,1000000000,62.46,USA
Amadeus IT Group,34.41,1000000000,76.55,Spain
CoStar Group,34.37,1000000000,84.14,USA
Renesas Electronics,34.33,1000000000,19.11,Japan
Bayan Resources,34.33,1000000000,1.03,Indonesia
Restaurant Brands International,34.26,1000000000,76.43,Canada
Experian,34.25,1000000000,37.20,Ireland
S.F. Express,34.22,1000000000,6.99,China
Ameriprise Financial,34.21,1000000000,325.00,USA
Adidas,34.17,1000000000,191.39,Germany
Lennar,34.16,1000000000,120.02,USA
The People's Insurance Company (PICC),34.15,1000000000,0.86,China
MPLX,34.10,1000000000,34.07,USA
PPG Industries,33.68,1000000000,143.08,USA
Capgemini,33.66,1000000000,195.81,France
Li Auto,33.62,1000000000,34.41,China
Interactive Brokers,33.46,1000000000,80.28,USA
Neste,33.44,1000000000,43.54,Finland
Cummins,33.38,1000000000,235.81,USA
Hexagon,33.34,1000000000,12.62,Sweden
Kuaishou Technology,33.18,1000000000,7.66,China
Anta Sports,33.15,1000000000,11.71,China
Kroger,33.13,1000000000,46.17,USA
East Money Information,33.09,1000000000,2.09,China
WEG ON,33.06,1000000000,7.88,Brazil
Cognizant Technology Solutions,33.02,1000000000,65.08,USA
RWE,32.90,1000000000,44.24,Germany
Bank of China (Hong Kong),32.84,1000000000,3.11,Hong Kong
E.ON,32.63,1000000000,12.50,Germany
Muyuan Foods,32.60,1000000000,5.96,China
Swisscom,32.57,1000000000,628.93,Switzerland
Illumina,32.54,1000000000,205.87,USA
Verisk Analytics,32.50,1000000000,224.52,USA
VICI Properties,32.47,1000000000,32.34,USA
Fidelity National Information Services,32.45,1000000000,54.78,USA
DMart,32.43,1000000000,49.87,India
Woolworths Group,32.39,1000000000,26.58,Australia
Nidec,32.33,1000000000,56.21,Japan
Fastenal,32.30,1000000000,56.58,USA
Consolidated Edison,32.21,1000000000,92.97,USA
ResMed,32.18,1000000000,219.04,USA
Bank Mandiri,32.17,1000000000,0.34,Indonesia
SMIC,32.05,1000000000,2.88,China
Veeva Systems,32.05,1000000000,200.05,USA
Titan Company,32.01,1000000000,36.06,India
Devon Energy,31.95,1000000000,49.80,USA
Ahold Delhaize,31.95,1000000000,32.94,Netherlands
Dupont De Nemours,31.86,1000000000,69.41,USA
Cenovus Energy,31.79,1000000000,16.65,Canada
Prudential Financial,31.76,1000000000,87.03,USA
Chunghwa Telecom,31.71,1000000000,40.88,Taiwan
Henkel,31.70,1000000000,80.78,Germany
Ping An Bank,31.70,1000000000,1.63,China
