Name,Earnings,Multiplicative,Share Price,Country
American Express,9.04,1000000000,172.21,USA
AbbVie,9.02,1000000000,138.64,USA
Deutsche Post,8.99,1000000000,48.37,Germany
Elevance Health,8.96,1000000000,443.21,USA
Canadian Natural Resources,8.94,1000000000,55.01,Canada
Pepsico,8.93,1000000000,186.04,USA
Kia,8.89,1000000000,64.23,S. Korea
Aker BP,8.88,1000000000,24.98,Norway
Fortescue,8.84,1000000000,15.49,Australia
Barclays,8.82,1000000000,7.93,UK
Bristol-Myers Squibb,8.79,1000000000,66.16,USA
Nextera Energy,8.72,1000000000,75.59,USA
Repsol,8.66,1000000000,14.99,Spain
Sony,8.65,1000000000,97.57,Japan
Ping An Bank,8.59,1000000000,1.63,China
McDonald,8.55,1000000000,293.70,USA
Energy Transfer Partners,8.47,1000000000,12.82,USA
Novartis,8.44,1000000000,101.83,Switzerland
Shanghai Pudong Development Bank,8.42,1000000000,1.04,China
Vanke,8.40,1000000000,1.44,China
Costco,8.40,1000000000,523.65,USA
UBS,8.37,1000000000,20.41,Switzerland
ASML,8.31,1000000000,721.88,Netherlands
Itōchū Shōji,8.30,1000000000,40.28,Japan
Altria Group,8.27,1000000000,44.07,USA
China Everbright Bank,8.23,1000000000,0.44,China
American International Group,8.21,1000000000,57.30,USA
Danaher,8.21,1000000000,241.80,USA
L'Oréal,8.15,1000000000,454.29,France
T-Mobile US,8.12,1000000000,130.93,USA
Devon Energy,8.10,1000000000,49.80,USA
Unilever,8.07,1000000000,51.93,UK
China Life Insurance,8.05,1000000000,5.32,China
ArcelorMittal,8.00,1000000000,28.12,Luxembourg
Sumitomo Mitsui Financial Group,8.00,1000000000,8.26,Japan
Walt Disney,7.99,1000000000,91.32,USA
Applied Materials,7.86,1000000000,138.93,USA
CVS Health,7.85,1000000000,67.72,USA
Raytheon Technologies,7.84,1000000000,97.74,USA
Truist Financial,7.83,1000000000,31.90,USA
PNC Financial Services,7.79,1000000000,128.47,USA
KDDI,7.77,1000000000,32.00,Japan
China Railway Group,7.68,1000000000,0.66,China
British American Tobacco,7.61,1000000000,32.82,UK
DBS Group,7.52,1000000000,23.33,Singapore
U.S. Bancorp,7.50,1000000000,33.45,USA
China Communications Construction,7.48,1000000000,1.57,China
Vinci,7.45,1000000000,120.95,France
Capital One,7.45,1000000000,110.07,USA
Shin-Etsu Chemical,7.40,1000000000,34.90,Japan
Mitsui O.S.K. Lines,7.38,1000000000,23.30,Japan
AXA,7.36,1000000000,28.90,France
Iberdrola,7.34,1000000000,12.94,Spain
PTT PCL,7.29,1000000000,0.92,Thailand
Itaú Unibanco,7.28,1000000000,5.90,Brazil
Quiñenco,7.27,1000000000,3.40,Chile
Gilead Sciences,7.26,1000000000,78.86,USA
Honeywell,7.15,1000000000,202.97,USA
Duke Energy,7.14,1000000000,92.18,USA
Tata Consultancy Services,7.08,1000000000,38.75,India
Bank of Montreal,7.08,1000000000,90.21,Canada
CATL,7.03,1000000000,32.46,China
Yankuang Energy (Yanzhou Coal Mining),7.02,1000000000,4.04,China
Abbott Laboratories,6.99,1000000000,106.20,USA
ING,6.95,1000000000,13.40,Netherlands
Honda,6.88,1000000000,31.32,Japan
Novatek,6.84,1000000000,14.51,Russia
D. R. Horton,6.76,1000000000,116.40,USA
NatWest Group,6.73,1000000000,6.59,UK
Southwestern Energy,6.69,1000000000,5.55,USA
CK Hutchison Holdings,6.65,1000000000,6.30,Hong Kong
Thermo Fisher Scientific,6.65,1000000000,537.30,USA
Longfor Group,6.64,1000000000,2.62,China
America Movil,6.63,1000000000,22.02,Mexico
Lockheed Martin,6.61,1000000000,459.17,USA
Intesa Sanpaolo,6.58,1000000000,2.60,Italy
ANZ Bank,6.56,1000000000,16.02,Australia
GlaxoSmithKline,6.55,1000000000,35.15,UK
Nippon Steel,6.53,1000000000,21.27,Japan
“K” Line,6.52,1000000000,22.87,Japan
BlackRock,6.43,1000000000,702.78,USA
Chesapeake Energy,6.42,1000000000,82.36,USA
Novolipetsk Steel,6.38,1000000000,1.54,Russia
National Australia Bank,6.34,1000000000,17.79,Australia
PKN Orlen,6.33,1000000000,16.43,Poland
Eli Lilly,6.28,1000000000,447.71,USA
HDFC Bank,6.23,1000000000,66.45,India
Zurich Insurance Group,6.22,1000000000,481.12,Switzerland
Prosus,6.21,1000000000,75.72,Netherlands
Adobe,6.17,1000000000,495.18,USA
Amazon,6.16,1000000000,125.49,USA
Nike,6.16,1000000000,113.59,USA
Chubb,6.15,1000000000,194.94,Switzerland
Lennar,6.12,1000000000,120.02,USA
EQT Corporation,6.11,1000000000,39.64,USA
Sumitomo,6.07,1000000000,21.92,Japan
Deutsche Bank,6.05,1000000000,10.42,Germany
Linde,6.04,1000000000,375.29,UK
Nordea Bank,6.03,1000000000,10.85,Finland
ZIM Integrated Shipping Services,6.02,1000000000,13.00,Israel
Medtronic,6.00,1000000000,89.15,Ireland
Grupo México,6.00,1000000000,5.10,Mexico
Corebridge Financial,5.99,1000000000,16.47,USA
3M,5.97,1000000000,104.54,USA
The People's Insurance Company (PICC),5.96,1000000000,0.86,China
Tianqi Lithium,5.94,1000000000,10.68,China
Sabancı Holding,5.90,1000000000,1.86,Turkey
Netflix,5.85,1000000000,431.96,USA
The Saudi National Bank,5.84,1000000000,9.90,S. Arabia
Compagnie Financière Richemont,5.83,1000000000,168.85,Switzerland
Diamondback Energy,5.83,1000000000,128.74,USA
Archer Daniels Midland (ADM),5.81,1000000000,75.48,USA
ICICI Bank,5.80,1000000000,22.87,India
Canadian National Railway,5.78,1000000000,118.95,Canada
Enterprise Products,5.77,1000000000,26.39,USA
Dell,5.77,1000000000,49.67,USA
Wuliangye Yibin,5.72,1000000000,25.86,China
Tata Steel,5.71,1000000000,1.39,India
Mizuho Financial Group,5.70,1000000000,2.98,Japan
Kering,5.69,1000000000,577.73,France
Northrop Grumman,5.69,1000000000,458.35,USA
Bayer,5.67,1000000000,57.16,Germany
Japan Post Holdings,5.66,1000000000,7.16,Japan
3i Group,5.66,1000000000,25.43,UK
Hitachi,5.65,1000000000,63.40,Japan
China Railway Construction,5.61,1000000000,1.46,China
Lam Research,5.60,1000000000,612.65,USA
FedEx,5.59,1000000000,233.46,USA
CSX Corporation,5.58,1000000000,33.21,USA
China Minsheng Bank,5.58,1000000000,0.55,China
Foxconn (Hon Hai Precision Industry),5.58,1000000000,3.62,Taiwan
AstraZeneca,5.58,1000000000,75.22,UK
Inditex,5.54,1000000000,18.84,Spain
Freeport-McMoRan,5.54,1000000000,39.89,USA
OCBC Bank,5.50,1000000000,9.46,Singapore
Danone,5.50,1000000000,60.54,France
HMM,5.50,1000000000,15.15,S. Korea
Principal,5.41,1000000000,74.78,USA
Sociedad Química y Minera,5.40,1000000000,72.16,Chile
Cenovus Energy,5.39,1000000000,16.65,Canada
Discover Financial Services,5.39,1000000000,115.32,USA
Yang Ming,5.36,1000000000,2.12,Taiwan
SABIC,5.34,1000000000,23.56,S. Arabia
Coterra Energy,5.34,1000000000,25.21,USA
Pinduoduo,5.31,1000000000,79.87,China
Schlumberger,5.27,1000000000,47.78,USA
Midea,5.25,1000000000,8.20,China
YPF (Yacimientos Petrolíferos Fiscales),5.22,1000000000,14.55,ar Argentina
Japan Tobacco,5.22,1000000000,22.81,Japan
China Overseas Land & Investment,5.22,1000000000,2.29,Hong Kong
QNB (Qatar National Bank),5.19,1000000000,4.45,eu Qatar
Marubeni,5.16,1000000000,17.49,Japan
Starbucks,5.15,1000000000,101.87,USA
SAP,5.15,1000000000,137.28,Germany
CIBC,5.15,1000000000,44.15,Canada
Volvo Group,5.15,1000000000,20.50,Sweden
Shimao Property,5.15,1000000000,0.57,Hong Kong
Cheniere Energy,5.14,1000000000,47.07,USA
Al Rajhi Bank,5.10,1000000000,19.82,S. Arabia
Booking Holdings (Booking.com),5.07,1000000000,"2,641",USA
Schneider Electric,5.05,1000000000,178.43,France
MPLX,5.00,1000000000,34.07,USA
RWE,4.99,1000000000,44.24,Germany
Hermès,4.96,1000000000,"2,174",France
CaixaBank,4.94,1000000000,4.11,Spain
TJX Companies,4.94,1000000000,81.26,USA
Zijin Mining,4.94,1000000000,1.69,China
New China Life Insurance,4.91,1000000000,5.37,China
Hua Xia Bank,4.91,1000000000,0.82,China
Moderna,4.88,1000000000,128.73,USA
NVIDIA,4.84,1000000000,426.92,USA
Türkiye Is Bankasi,4.83,1000000000,0.57,Turkey
Bank of Jiangsu,4.83,1000000000,1.04,China
STMicroelectronics,4.83,1000000000,49.99,Switzerland
Nintendo,4.81,1000000000,44.66,Japan
HP,4.79,1000000000,31.00,USA
Coal India,4.76,1000000000,2.79,India
Airbus,4.76,1000000000,143.62,Netherlands
Raiffeisen Bank International,4.75,1000000000,15.03,Austria
Tokyo Electron,4.75,1000000000,145.40,Japan
Société Générale,4.72,1000000000,25.43,France
Macquarie,4.69,1000000000,126.90,Australia
Shinhan Financial Group,4.68,1000000000,27.33,S. Korea
Aflac,4.68,1000000000,69.43,USA
Regeneron Pharmaceuticals,4.65,1000000000,783.05,USA
Life Insurance Corporation of India (LIC),4.64,1000000000,7.38,India
McKesson,4.63,1000000000,406.20,USA
Adaro Energy,4.62,1000000000,0.16,Indonesia
Standard Chartered,4.60,1000000000,8.63,UK
Munich RE (Münchener Rück),4.59,1000000000,361.18,Germany
CF Industries,4.56,1000000000,71.27,USA
Bank Rakyat Indonesia,4.54,1000000000,0.37,Indonesia
Apache Corporation,4.54,1000000000,34.38,USA
Generali,4.54,1000000000,20.47,Italy
Akbank,4.54,1000000000,0.80,Turkey
Vedanta,4.54,1000000000,3.42,India
Suzano,4.53,1000000000,10.01,Brazil
BT Group,4.52,1000000000,1.74,UK
LG Electronics,4.52,1000000000,97.99,S. Korea
Norfolk Southern,4.50,1000000000,224.14,USA
Steel Dynamics,4.50,1000000000,102.53,USA
Mondelez,4.49,1000000000,73.57,USA
Bank of China (Hong Kong),4.48,1000000000,3.11,Hong Kong
Compagnie de Saint-Gobain,4.47,1000000000,61.52,France
Takeda Pharmaceutical,4.47,1000000000,16.09,Japan
Heineken,4.46,1000000000,104.55,Netherlands
Williams Companies,4.42,1000000000,30.53,USA
ČEZ Group,4.42,1000000000,48.05,Czech Republic
Gree Electric Appliances,4.41,1000000000,5.21,China
Ovintiv,4.41,1000000000,37.90,USA
NTPC Limited,4.40,1000000000,2.30,India
HF Sinclair,4.40,1000000000,46.00,USA
Humana,4.38,1000000000,445.65,USA
Paccar,4.38,1000000000,78.63,USA
Swiss Re,4.37,1000000000,99.12,Switzerland
Public Storage,4.37,1000000000,287.10,USA
Daimler Truck,4.35,1000000000,35.71,Germany
Oil & Natural Gas,4.35,1000000000,1.92,India
Merck KGaA,4.34,1000000000,182.01,Germany
American Airlines,4.32,1000000000,16.48,USA
Marsh & McLennan Companies,4.32,1000000000,181.15,USA
EnBW Energie,4.30,1000000000,93.50,Germany
DNB,4.29,1000000000,18.64,Norway
CITIC Securities,4.28,1000000000,2.86,China
PTT Exploration and Production,4.28,1000000000,4.42,Thailand
Analog Devices,4.27,1000000000,188.36,USA
General Dynamics,4.24,1000000000,217.34,USA
Porsche SE,4.23,1000000000,62.80,Germany
Automatic Data Processing,4.23,1000000000,221.32,USA
Vertex Pharmaceuticals,4.22,1000000000,347.89,USA
S&P Global,4.21,1000000000,395.21,USA
Kinder Morgan,4.21,1000000000,17.04,USA
Manulife Financial,4.20,1000000000,18.99,Canada
United Airlines Holdings,4.20,1000000000,53.50,USA
KBC,4.18,1000000000,68.50,Belgium
Air Liquide,4.18,1000000000,183.86,France
SAIC Motor,4.15,1000000000,1.98,China
Severstal,4.15,1000000000,12.16,Russia
Southern Copper,4.14,1000000000,74.44,USA
KB Financial Group,4.13,1000000000,37.97,S. Korea
Yapı Kredi,4.12,1000000000,0.54,Turkey
Illinois Tool Works,4.11,1000000000,247.99,USA
ENEOS Holdings,4.11,1000000000,3.47,Japan
LyondellBasell,4.11,1000000000,92.24,USA
PBF Energy,4.07,1000000000,40.65,USA
Hess,4.07,1000000000,135.56,USA
Sun Hung Kai Properties,4.05,1000000000,13.09,Hong Kong
Exelon Corporation,4.02,1000000000,41.21,USA
Tenaris,4.02,1000000000,28.25,Luxembourg
Infosys,4.00,1000000000,15.83,India
KLA,3.96,1000000000,464.89,USA
Bank Mandiri,3.95,1000000000,0.34,Indonesia
Southern Company,3.95,1000000000,71.76,USA
Bank of Beijing,3.93,1000000000,0.66,China
Hana Financial Group,3.93,1000000000,32.15,S. Korea
Galp Energia,3.92,1000000000,11.92,Portugal
Marriott International,3.91,1000000000,176.36,USA
Dow,3.91,1000000000,53.16,USA
Seadrill,3.91,1000000000,38.62,Bermuda
Jingdong Mall,3.89,1000000000,39.85,China
CME Group,3.89,1000000000,184.11,USA
China Yangtze Power,3.89,1000000000,3.12,China
GarantiBank,3.88,1000000000,1.27,Turkey
Infineon,3.87,1000000000,41.67,Germany
Housing Development Finance Corporation,3.87,1000000000,32.35,India
China Pacific Insurance,3.87,1000000000,4.00,China
Banco Bradesco,3.85,1000000000,3.51,Brazil
Banco Santander Brasil,3.83,1000000000,6.39,Brazil
Saudi Telecom Company,3.82,1000000000,11.77,S. Arabia
MediaTek,3.82,1000000000,24.52,Taiwan
Teck Resources,3.81,1000000000,41.96,Canada
Dominion Energy,3.81,1000000000,53.33,USA
PayPal,3.81,1000000000,66.43,USA
Westpac Banking,3.80,1000000000,14.39,Australia
The Mosaic Company,3.80,1000000000,35.82,USA
Erste Group Bank,3.79,1000000000,34.66,Austria
NXP Semiconductors,3.76,1000000000,197.85,Netherlands
Keyence,3.76,1000000000,505.97,Japan
Reckitt Benckiser,3.74,1000000000,77.56,UK
Bank of Ningbo,3.73,1000000000,3.70,China
Walmex,3.71,1000000000,4.04,Mexico
Alimentation Couche-Tard,3.71,1000000000,48.96,Canada
Fresenius,3.69,1000000000,28.31,Germany
ABB,3.69,1000000000,37.13,Switzerland
South32,3.69,1000000000,2.70,Australia
TC Energy,3.68,1000000000,40.59,Canada
Biogen,3.68,1000000000,297.48,USA
Colgate-Palmolive,3.66,1000000000,77.78,USA
Tatneft,3.65,1000000000,4.81,Russia
Bank of Shanghai,3.65,1000000000,0.87,China
SBI Holdings,3.65,1000000000,20.01,Japan
Saudi Electricity,3.65,1000000000,6.08,S. Arabia
Bank of New York Mellon,3.64,1000000000,44.65,USA
Aon,3.62,1000000000,329.38,UK
POSCO,3.61,1000000000,75.98,S. Korea
Bank Central Asia,3.61,1000000000,0.61,Indonesia
Delta Air Lines,3.59,1000000000,42.79,USA
Skandinaviska Enskilda Banken,3.57,1000000000,11.40,Sweden
Bajaj Finserv,3.56,1000000000,18.41,India
PulteGroup,3.52,1000000000,73.51,USA
Kühne + Nagel,3.52,1000000000,293.25,Switzerland
Synchrony,3.51,1000000000,32.90,USA
Marathon Oil,3.51,1000000000,23.50,USA
Astra International,3.51,1000000000,0.46,Indonesia
Bridgestone,3.48,1000000000,42.81,Japan
Yancoal,3.47,1000000000,3.21,Australia
Maaden,3.47,1000000000,11.20,S. Arabia
Woori Financial Group,3.45,1000000000,28.24,S. Korea
Toyota Tsusho,3.45,1000000000,52.90,Japan
The Travelers Companies,3.45,1000000000,176.75,USA
Albemarle,3.41,1000000000,228.17,USA
Foxconn Industrial Internet,3.41,1000000000,3.38,China
Ahold Delhaize,3.39,1000000000,32.94,Netherlands
Fomento Económico Mexicano,3.38,1000000000,111.19,Mexico
Talanx,3.37,1000000000,58.90,Germany
Target,3.37,1000000000,133.81,USA
MetLife,3.36,1000000000,55.50,USA
United Microelectronics,3.36,1000000000,8.75,Taiwan
Emerson,3.36,1000000000,87.41,USA
Waste Management,3.35,1000000000,165.03,USA
Prologis,3.34,1000000000,122.63,USA
General Mills,3.34,1000000000,80.71,USA
Renesas Electronics,3.34,1000000000,19.11,Japan
Avis Budget Group,3.33,1000000000,204.29,USA
Power Corporation of Canada,3.33,1000000000,26.74,Canada
Banorte,3.33,1000000000,8.41,Mexico
Bank Leumi,3.33,1000000000,7.70,Israel
Simon Property Group,3.33,1000000000,112.79,USA
MTN Group,3.32,1000000000,7.77,South Africa
Carrier,3.30,1000000000,46.88,USA
Japan Post Bank,3.30,1000000000,7.79,Japan
Canadian Pacific Railway,3.30,1000000000,78.52,Canada
Komatsu,3.29,1000000000,27.16,Japan
Chugai Pharmaceutical,3.28,1000000000,30.24,Japan
Tokio Marine,3.27,1000000000,24.02,Japan
Cummins,3.27,1000000000,235.81,USA
Idemitsu Kosan,3.26,1000000000,20.69,Japan
State Street Corporation,3.26,1000000000,73.77,USA
Powergrid Corporation of India,3.25,1000000000,3.01,India
DSV,3.25,1000000000,199.37,Denmark
Old Mutual,3.25,1000000000,0.67,South Africa
Henkel,3.25,1000000000,80.78,Germany
EssilorLuxottica,3.24,1000000000,189.27,France
BYD,3.24,1000000000,38.08,China
Sun Life Financial,3.24,1000000000,50.91,Canada
Bank of Nanjing,3.23,1000000000,1.22,China
Fairfax Financial,3.23,1000000000,735.95,Canada
Jardine Matheson,3.22,1000000000,50.28,Hong Kong
Legal & General,3.22,1000000000,2.94,UK
Fast Retailing,3.20,1000000000,265.21,Japan
Sinopharm,3.20,1000000000,3.32,China
Viatris,3.20,1000000000,10.29,USA
Fifth Third Bank,3.20,1000000000,26.54,USA
UOB,3.18,1000000000,20.92,Singapore
ITC,3.18,1000000000,5.53,India
National Bank of Canada,3.18,1000000000,75.21,Canada
Builders FirstSource,3.17,1000000000,121.41,USA
Enbridge,3.16,1000000000,37.48,Canada
Brookfield Asset Management,3.15,1000000000,33.26,Canada
Antero Resources,3.13,1000000000,22.46,USA
Dollar General,3.11,1000000000,164.32,USA
Oneok,3.11,1000000000,60.95,USA
Ganfeng Lithium,3.11,1000000000,9.17,China
Intuit,3.10,1000000000,455.03,USA
Delek Group,3.10,1000000000,124.64,Israel
Tourmaline Oil,3.10,1000000000,46.22,Canada
AIB Group (Allied Irish Banks),3.09,1000000000,4.33,Ireland
Baidu,3.06,1000000000,145.11,China
Brookfield Renewable,3.06,1000000000,32.89,USA
Consolidated Edison,3.06,1000000000,92.97,USA
M&T Bank,3.06,1000000000,123.16,USA
Lenovo,3.05,1000000000,1.09,Hong Kong
AutoZone,3.05,1000000000,"2,494",USA
Eaton,3.05,1000000000,191.26,Ireland
Kraft Heinz,3.04,1000000000,36.99,USA
Atlas Copco,3.04,1000000000,12.77,Sweden
MOL Group,3.04,1000000000,8.66,Hungary
Standard Bank Group,3.04,1000000000,9.53,South Africa
Bayan Resources,3.03,1000000000,1.03,Indonesia
Power Finance Corp,3.02,1000000000,2.41,India
Cognizant Technology Solutions,3.02,1000000000,65.08,USA
O'Reilly Automotive,3.01,1000000000,919.02,USA
Power Financial,2.98,1000000000,14.16,Canada
Bank Hapoalim,2.98,1000000000,8.78,Israel
Gerdau,2.98,1000000000,5.35,Brazil
Ameriprise Financial,2.98,1000000000,325.00,USA
China Telecom,2.98,1000000000,0.50,China
Verbund AG,2.97,1000000000,81.18,Austria
Swedbank,2.97,1000000000,17.55,Sweden
Stryker Corporation,2.97,1000000000,294.35,USA
Regions Financial,2.96,1000000000,18.12,USA
Israel Chemicals,2.95,1000000000,5.95,Israel
Halliburton,2.95,1000000000,32.58,USA
Fiserv,2.95,1000000000,119.96,USA
Wanhua Chemical,2.94,1000000000,12.82,China
Santos,2.94,1000000000,5.23,Australia
Huntington Bancshares,2.94,1000000000,10.92,USA
7-Eleven,2.94,1000000000,43.33,Japan
Itaúsa,2.93,1000000000,2.01,Brazil
Deutsche Wohnen,2.92,1000000000,23.54,Germany
ARC Resources,2.92,1000000000,13.15,Canada
Sumitomo Metal Mining,2.91,1000000000,35.44,Japan
NetEase,2.91,1000000000,98.45,China
United Rentals,2.91,1000000000,403.09,USA
Denso,2.91,1000000000,68.45,Japan
Microchip Technology,2.90,1000000000,85.49,USA
CK Asset Holdings,2.90,1000000000,5.70,Hong Kong
Kroger,2.90,1000000000,46.17,USA
Nissan,2.89,1000000000,3.87,Japan
Centene,2.89,1000000000,65.66,USA
FirstRand,2.88,1000000000,3.79,South Africa
Agnico Eagle Mines,2.88,1000000000,51.00,Canada
Industrial Bank of Korea (IBK),2.88,1000000000,8.10,S. Korea
PDC Energy,2.85,1000000000,71.20,USA
Imperial Brands,2.84,1000000000,22.48,UK
ABN AMRO,2.84,1000000000,15.48,Netherlands
Michelin,2.84,1000000000,30.07,France
Hyundai Mobis,2.84,1000000000,174.34,S. Korea
Daikin,2.84,1000000000,211.04,Japan
Dish Network,2.83,1000000000,6.47,USA
CNH Industrial,2.83,1000000000,14.53,UK
Recruit,2.82,1000000000,35.16,Japan
