Name,Earnings,Market Cap,Revenue,Share Price,Country
Enel,11860000000,67970000000,1.4539E+11,6.69,Italy
Cheniere Energy,11810000000,36200000000,33250000000,148.68,USA
Mastercard,11810000000,3.5681E+11,22810000000,376.53,USA
Reliance Industries,11670000000,2.1284E+11,1.0821E+11,31.46,India
Philip Morris,11630000000,1.4728E+11,32030000000,94.89,USA
Mitsubishi UFJ Financial,11600000000,83920000000,44460000000,6.93,Japan
General Motors,11590000000,52760000000,1.6074E+11,37.96,USA
Anheuser-Busch Inbev,11340000000,1.1547E+11,58760000000,58.21,Belgium
Mitsui Bussan,11130000000,60910000000,1.0645E+11,39.54,Japan
Inpex,11040000000,15240000000,17770000000,11.67,Japan
Banco Bilbao Vizcaya Argentaria,11020000000,44440000000,30480000000,7.45,Spain
CITIC Bank,10900000000,37140000000,31230000000,0.86,China
OMV,10800000000,14300000000,59820000000,43.75,Austria
Novo Nordisk,10660000000,3.6167E+11,26550000000,161.29,Denmark
First Citizens BancShares,10600000000,18460000000,4750000000,"1,283",USA
Hyundai,10590000000,36420000000,1.1371E+11,41.82,S. Korea
HCA Healthcare,10500000000,81030000000,60870000000,290.08,USA
Lowe's Companies,10140000000,1.272E+11,95740000000,217.08,USA
Exor,10120000000,30730000000,2.2332E+11,88.72,Netherlands
Orient Overseas Container Line,10080000000,8750000000,19820000000,13.26,Hong Kong
Deutsche Telekom,10030000000,1.0574E+11,1.1909E+11,21.27,Germany
UniCredit,9890000000,38380000000,22520000000,21.08,Italy
Caterpillar,9850000000,1.2664E+11,61700000000,245.27,USA
Comcast,9760000000,1.7175E+11,1.201E+11,41.2,USA
Evergreen Marine,9750000000,11460000000,17110000000,5.42,Taiwan
Siemens,9740000000,1.421E+11,79410000000,179.31,Germany
Cigna,9690000000,79530000000,1.8278E+11,268.83,USA
Texas Instruments,9680000000,1.6043E+11,19500000000,176.76,USA
Nippon Yūsen,9670000000,10970000000,19910000000,21.65,Japan
Charles Schwab,9650000000,99010000000,21200000000,54.4,USA
Anglo American,9480000000,43530000000,35110000000,32.52,UK
Ford,9410000000,57690000000,1.6505E+11,14.42,USA
Commonwealth Bank,9410000000,1.1534E+11,16460000000,68.37,Australia
Suncor Energy,9410000000,39530000000,42810000000,30.14,Canada
Freddie Mac,9350000000,9510000000,20240000000,2.95,USA
Accenture,9330000000,2.0196E+11,63140000000,319.54,Ireland
Sanofi,9320000000,1.2998E+11,48250000000,52.04,France
Scotiabank,9300000000,60100000000,23680000000,50.16,Canada
CNOOC,9270000000,71720000000,24490000000,1.44,China
State Bank of India,9230000000,62220000000,34760000000,6.97,India
Banco do Brasil,9200000000,29400000000,23450000000,10.3,Brazil
BioNTech,9190000000,27120000000,12710000000,112.55,Germany
Woodside Energy,9170000000,46960000000,16810000000,24.73,Australia
Koç Holding,9150000000,10660000000,53510000000,4.21,Turkey
General Electric,9140000000,1.1588E+11,69010000000,106.29,USA
Crédit Agricole,9120000000,35870000000,22020000000,11.86,France
Nutrien,9120000000,29840000000,36330000000,60.07,Canada
Pioneer Natural Resources,9110000000,48330000000,22830000000,206.8,USA
Amgen,9110000000,1.2271E+11,26190000000,229.66,USA
Union Pacific Corporation,9090000000,1.2478E+11,25070000000,204.67,USA
Lloyds Banking Group,9080000000,37160000000,22560000000,2.27,UK
Nucor,9080000000,38030000000,39720000000,151.41,USA
American Express,9040000000,1.2799E+11,55400000000,172.21,USA
AbbVie,9020000000,2.446E+11,56740000000,138.64,USA
Deutsche Post,8990000000,57980000000,99410000000,48.37,Germany
Elevance Health,8960000000,1.0506E+11,1.6067E+11,443.21,USA
Canadian Natural Resources,8940000000,60100000000,35110000000,55.01,Canada
Pepsico,8930000000,2.563E+11,88030000000,186.04,USA
Kia,8890000000,25370000000,69640000000,64.23,S. Korea
Aker BP,8880000000,15780000000,13940000000,24.98,Norway
Fortescue,8840000000,47690000000,17310000000,15.49,Australia
Barclays,8820000000,30900000000,30760000000,7.93,UK
Bristol-Myers Squibb,8790000000,1.3899E+11,45840000000,66.16,USA
Nextera Energy,8720000000,1.5295E+11,24780000000,75.59,USA
Repsol,8660000000,19450000000,76290000000,14.99,Spain
Sony,8650000000,1.2073E+11,85050000000,97.57,Japan
Ping An Bank,8590000000,31700000000,25910000000,1.63,China
McDonald,8550000000,2.1442E+11,23410000000,293.7,USA
Energy Transfer Partners,8470000000,40270000000,88380000000,12.82,USA
Novartis,8440000000,2.1583E+11,52220000000,101.83,Switzerland
Shanghai Pudong Development Bank,8420000000,30630000000,27930000000,1.04,China
Vanke,8400000000,23280000000,73940000000,1.44,China
Costco,8400000000,2.3205E+11,2.3706E+11,523.65,USA
UBS,8370000000,65930000000,33480000000,20.41,Switzerland
ASML,8310000000,2.8484E+11,25590000000,721.88,Netherlands
Itōchū Shōji,8300000000,58730000000,1.0312E+11,40.28,Japan
Altria Group,8270000000,78660000000,20630000000,44.07,USA
China Everbright Bank,8230000000,24210000000,21910000000,0.44,China
American International Group,8210000000,41470000000,51780000000,57.3,USA
Danaher,8210000000,1.7842E+11,30950000000,241.8,USA
L'Oréal,8150000000,2.4313E+11,40970000000,454.29,France
T-Mobile US,8120000000,1.571E+11,79080000000,130.93,USA
Devon Energy,8100000000,31950000000,19180000000,49.8,USA
Unilever,8070000000,1.3068E+11,58200000000,51.93,UK
China Life Insurance,8050000000,1.2393E+11,1.4795E+11,5.32,China
ArcelorMittal,8000000000,23560000000,76500000000,28.12,Luxembourg
Sumitomo Mitsui Financial Group,8000000000,55150000000,27760000000,8.26,Japan
Walt Disney,7990000000,1.6686E+11,86980000000,91.32,USA
Applied Materials,7860000000,1.1666E+11,26630000000,138.93,USA
CVS Health,7850000000,86810000000,3.3091E+11,67.72,USA
Raytheon Technologies,7840000000,1.4281E+11,68570000000,97.74,USA
Truist Financial,7830000000,42480000000,23810000000,31.9,USA
PNC Financial Services,7790000000,51340000000,21980000000,128.47,USA
KDDI,7770000000,69080000000,42270000000,32,Japan
China Railway Group,7680000000,25330000000,1.6824E+11,0.66,China
British American Tobacco,7610000000,73390000000,21640000000,32.82,UK
DBS Group,7520000000,60150000000,12910000000,23.33,Singapore
U.S. Bancorp,7500000000,51270000000,25750000000,33.45,USA
China Communications Construction,7480000000,20100000000,1.0518E+11,1.57,China
Vinci,7450000000,68960000000,66950000000,120.95,France
Capital One,7450000000,42020000000,34980000000,110.07,USA
Shin-Etsu Chemical,7400000000,71960000000,20620000000,34.9,Japan
Mitsui O.S.K. Lines,7380000000,8420000000,11960000000,23.3,Japan
AXA,7360000000,66660000000,1.3468E+11,28.9,France
Iberdrola,7340000000,81080000000,60110000000,12.94,Spain
PTT PCL,7290000000,26640000000,95110000000,0.92,Thailand
Itaú Unibanco,7280000000,57810000000,26900000000,5.9,Brazil
Quiñenco,7270000000,5650000000,6610000000,3.4,Chile
Gilead Sciences,7260000000,98360000000,27040000000,78.86,USA
Honeywell,7150000000,1.3511E+11,35950000000,202.97,USA
Duke Energy,7140000000,71030000000,28910000000,92.18,USA
Tata Consultancy Services,7080000000,1.4178E+11,27710000000,38.75,India
Bank of Montreal,7080000000,63740000000,22650000000,90.21,Canada
CATL,7030000000,1.4271E+11,53360000000,32.46,China
Yankuang Energy (Yanzhou Coal Mining),7020000000,17350000000,23180000000,4.04,China
Abbott Laboratories,6990000000,1.8467E+11,41500000000,106.2,USA
ING,6950000000,48380000000,21430000000,13.4,Netherlands
Honda,6880000000,52040000000,1.2433E+11,31.32,Japan
D. R. Horton,6760000000,39700000000,33650000000,116.4,USA
NatWest Group,6730000000,29510000000,16220000000,6.59,UK
Southwestern Energy,6690000000,6110000000,14170000000,5.55,USA
CK Hutchison Holdings,6650000000,24110000000,33650000000,6.3,Hong Kong
Thermo Fisher Scientific,6650000000,2.0724E+11,43800000000,537.3,USA
Longfor Group,6640000000,16620000000,36330000000,2.62,China
America Movil,6630000000,70570000000,43180000000,22.02,Mexico
Lockheed Martin,6610000000,1.1628E+11,66140000000,459.17,USA
Intesa Sanpaolo,6580000000,47430000000,23140000000,2.6,Italy
ANZ Bank,6560000000,48050000000,12330000000,16.02,Australia
GlaxoSmithKline,6550000000,71960000000,34700000000,35.15,UK
Nippon Steel,6530000000,19660000000,58830000000,21.27,Japan
“K” Line,6520000000,5720000000,6950000000,22.87,Japan
BlackRock,6430000000,1.0525E+11,17410000000,702.78,USA
Chesapeake Energy,6420000000,11020000000,13820000000,82.36,USA
National Australia Bank,6340000000,55680000000,11930000000,17.79,Australia
PKN Orlen,6330000000,19070000000,48750000000,16.43,Poland
Eli Lilly,6280000000,4.2499E+11,27690000000,447.71,USA
HDFC Bank,6230000000,1.238E+11,14070000000,66.45,India
Zurich Insurance Group,6220000000,70980000000,67330000000,481.12,Switzerland
Prosus,6210000000,1.5179E+11,2620000000,75.72,Netherlands
Adobe,6170000000,2.2713E+11,17990000000,495.18,USA
Amazon,6160000000,1.287E+12,5.2489E+11,125.49,USA
Nike,6160000000,1.7458E+11,50620000000,113.59,USA
Chubb,6150000000,80730000000,44700000000,194.94,Switzerland
Lennar,6120000000,34160000000,33950000000,120.02,USA
EQT Corporation,6110000000,14330000000,11470000000,39.64,USA
Sumitomo,6070000000,26830000000,49680000000,21.92,Japan
Deutsche Bank,6050000000,21190000000,28480000000,10.42,Germany
Linde,6040000000,1.8374E+11,33340000000,375.29,UK
Nordea Bank,6030000000,38880000000,11300000000,10.85,Finland
ZIM Integrated Shipping Services,6020000000,1560000000,12560000000,13,Israel
Medtronic,6000000000,1.1864E+11,30770000000,89.15,Ireland
Grupo México,6000000000,39700000000,13960000000,5.1,Mexico
Corebridge Financial,5990000000,10670000000,22680000000,16.47,USA
3M,5970000000,57670000000,33430000000,104.54,USA
The People's Insurance Company (PICC),5960000000,34150000000,89110000000,0.86,China
Tianqi Lithium,5940000000,15770000000,5860000000,10.68,China
Sabancı Holding,5900000000,3700000000,9760000000,1.86,Turkey
Netflix,5850000000,1.9202E+11,31900000000,431.96,USA
The Saudi National Bank,5840000000,59010000000,9290000000,9.9,S. Arabia
Compagnie Financière Richemont,5830000000,96270000000,21750000000,168.85,Switzerland
Diamondback Energy,5830000000,23310000000,9160000000,128.74,USA
Archer Daniels Midland (ADM),5810000000,41100000000,1.0227E+11,75.48,USA
ICICI Bank,5800000000,79970000000,16650000000,22.87,India
Canadian National Railway,5780000000,78790000000,13210000000,118.95,Canada
Enterprise Products,5770000000,57380000000,57620000000,26.39,USA
Dell,5770000000,36120000000,1.023E+11,49.67,USA
Wuliangye Yibin,5720000000,1.0036E+11,11250000000,25.86,China
Tata Steel,5710000000,17040000000,32710000000,1.39,India
Mizuho Financial Group,5700000000,38070000000,19990000000,2.98,Japan
Kering,5690000000,70650000000,21790000000,577.73,France
Northrop Grumman,5690000000,69600000000,37100000000,458.35,USA
Bayer,5670000000,56150000000,53020000000,57.16,Germany
Japan Post Holdings,5660000000,24780000000,84000000000,7.16,Japan
3i Group,5660000000,24740000000,5830000000,25.43,UK
Hitachi,5650000000,59580000000,83010000000,63.4,Japan
China Railway Construction,5610000000,18450000000,1.604E+11,1.46,China
Lam Research,5600000000,82300000000,18850000000,612.65,USA
FedEx,5590000000,58680000000,92610000000,233.46,USA
CSX Corporation,5580000000,67510000000,15140000000,33.21,USA
China Minsheng Bank,5580000000,22690000000,21120000000,0.55,China
Foxconn (Hon Hai Precision Industry),5580000000,50230000000,2.1834E+11,3.62,Taiwan
AstraZeneca,5580000000,2.3316E+11,43830000000,75.22,UK
Inditex,5540000000,1.1724E+11,33870000000,18.84,Spain
Freeport-McMoRan,5540000000,57170000000,21560000000,39.89,USA
OCBC Bank,5500000000,42530000000,8920000000,9.46,Singapore
Danone,5500000000,38830000000,16710000000,60.54,France
HMM,5500000000,7400000000,11830000000,15.15,S. Korea
Principal,5410000000,18150000000,17200000000,74.78,USA
Sociedad Química y Minera,5400000000,20610000000,10950000000,72.16,Chile
Cenovus Energy,5390000000,31790000000,50320000000,16.65,Canada
Discover Financial Services,5390000000,29280000000,14180000000,115.32,USA
Yang Ming,5360000000,7380000000,10010000000,2.12,Taiwan
SABIC,5340000000,70670000000,49450000000,23.56,S. Arabia
Coterra Energy,5340000000,19090000000,9140000000,25.21,USA
Pinduoduo,5310000000,1.0611E+11,19190000000,79.87,China
Schlumberger,5270000000,68100000000,29860000000,47.78,USA
Midea,5250000000,57550000000,50990000000,8.2,China
YPF (Yacimientos Petrolíferos Fiscales),5220000000,11470000000,17890000000,14.55,ar Argentina
Japan Tobacco,5220000000,40490000000,20100000000,22.81,Japan
China Overseas Land & Investment,5220000000,25070000000,26140000000,2.29,Hong Kong
QNB (Qatar National Bank),5190000000,41130000000,9390000000,4.45,eu Qatar
Marubeni,5160000000,29670000000,72250000000,17.49,Japan
Starbucks,5150000000,1.1678E+11,33990000000,101.87,USA
SAP,5150000000,1.6022E+11,32700000000,137.28,Germany
CIBC,5150000000,40560000000,16870000000,44.15,Canada
Volvo Group,5150000000,42130000000,47560000000,20.5,Sweden
Shimao Property,5150000000,2140000000,20750000000,0.57,Hong Kong
Al Rajhi Bank,5100000000,79280000000,7560000000,19.82,S. Arabia
Booking Holdings (Booking.com),5070000000,97540000000,18170000000,"2,641",USA
Schneider Electric,5050000000,99760000000,36600000000,178.43,France
MPLX,5000000000,34100000000,10580000000,34.07,USA
RWE,4990000000,32900000000,38300000000,44.24,Germany
Hermès,4960000000,2.2729E+11,12420000000,"2,174",France
CaixaBank,4940000000,30770000000,13960000000,4.11,Spain
TJX Companies,4940000000,93380000000,50310000000,81.26,USA
Zijin Mining,4940000000,43610000000,39960000000,1.69,China
New China Life Insurance,4910000000,14040000000,22450000000,5.37,China
Hua Xia Bank,4910000000,13050000000,13470000000,0.82,China
Moderna,4880000000,49070000000,14730000000,128.73,USA
NVIDIA,4840000000,1.054E+12,25870000000,426.92,USA
Türkiye Is Bankasi,4830000000,5760000000,8840000000,0.57,Turkey
Bank of Jiangsu,4830000000,15370000000,10420000000,1.04,China
STMicroelectronics,4830000000,44990000000,16820000000,49.99,Switzerland
Nintendo,4810000000,52170000000,12620000000,44.66,Japan
HP,4790000000,30560000000,59780000000,31,USA
Coal India,4760000000,17190000000,15700000000,2.79,India
Airbus,4760000000,1.1332E+11,61400000000,143.62,Netherlands
Raiffeisen Bank International,4750000000,4930000000,10700000000,15.03,Austria
Tokyo Electron,4750000000,67930000000,16580000000,145.4,Japan
Société Générale,4720000000,20380000000,52470000000,25.43,France
Macquarie,4690000000,49050000000,4400000000,126.9,Australia
Shinhan Financial Group,4680000000,13800000000,15680000000,27.33,S. Korea
Aflac,4680000000,41950000000,18960000000,69.43,USA
Regeneron Pharmaceuticals,4650000000,85900000000,12360000000,783.05,USA
Life Insurance Corporation of India (LIC),4640000000,46670000000,97890000000,7.38,India
McKesson,4630000000,55040000000,2.7671E+11,406.2,USA
Adaro Energy,4620000000,4800000000,8710000000,0.16,Indonesia
Standard Chartered,4600000000,24250000000,16440000000,8.63,UK
Munich RE (Münchener Rück),4590000000,49710000000,72070000000,361.18,Germany
CF Industries,4560000000,13890000000,10330000000,71.27,USA
Bank Rakyat Indonesia,4540000000,56060000000,11220000000,0.37,Indonesia
Apache Corporation,4540000000,10600000000,10410000000,34.38,USA
Generali,4540000000,30880000000,86320000000,20.47,Italy
Akbank,4540000000,4150000000,6590000000,0.8,Turkey
Vedanta,4540000000,12670000000,19010000000,3.42,India
Suzano,4530000000,13050000000,9780000000,10.01,Brazil
BT Group,4520000000,17580000000,32000000000,1.74,UK
LG Electronics,4520000000,16680000000,62840000000,97.99,S. Korea
Norfolk Southern,4500000000,51020000000,12960000000,224.14,USA
Steel Dynamics,4500000000,17330000000,21580000000,102.53,USA
Mondelez,4490000000,1.0019E+11,32890000000,73.57,USA
Bank of China (Hong Kong),4480000000,32840000000,9010000000,3.11,Hong Kong
Compagnie de Saint-Gobain,4470000000,31450000000,54830000000,61.52,France
Takeda Pharmaceutical,4470000000,50460000000,29610000000,16.09,Japan
Heineken,4460000000,60150000000,30750000000,104.55,Netherlands
Williams Companies,4420000000,37190000000,11520000000,30.53,USA
ČEZ Group,4420000000,25790000000,14680000000,48.05,Czech Republic
Gree Electric Appliances,4410000000,29340000000,28030000000,5.21,China
Ovintiv,4410000000,10470000000,13040000000,37.9,USA
NTPC Limited,4400000000,22270000000,21670000000,2.3,India
HF Sinclair,4400000000,8840000000,38310000000,46,USA
Humana,4380000000,55680000000,95640000000,445.65,USA
Paccar,4380000000,41090000000,30820000000,78.63,USA
Swiss Re,4370000000,28640000000,43740000000,99.12,Switzerland
Public Storage,4370000000,50610000000,4300000000,287.1,USA
Daimler Truck,4350000000,29380000000,56140000000,35.71,Germany
Oil & Natural Gas,4350000000,24100000000,37040000000,1.92,India
Merck KGaA,4340000000,79130000000,23350000000,182.01,Germany
American Airlines,4320000000,10750000000,52260000000,16.48,USA
Marsh & McLennan Companies,4320000000,89610000000,21090000000,181.15,USA
EnBW Energie,4300000000,25320000000,58850000000,93.5,Germany
DNB,4290000000,28790000000,6950000000,18.64,Norway
CITIC Securities,4280000000,40060000000,9540000000,2.86,China
PTT Exploration and Production,4280000000,17560000000,9410000000,4.42,Thailand
Analog Devices,4270000000,94440000000,12870000000,188.36,USA
General Dynamics,4240000000,59620000000,39890000000,217.34,USA
Porsche SE,4230000000,19230000000,180000000,62.8,Germany
Automatic Data Processing,4230000000,91430000000,16950000000,221.32,USA
Vertex Pharmaceuticals,4220000000,89590000000,9200000000,347.89,USA
S&P Global,4210000000,1.2678E+11,11950000000,395.21,USA
Kinder Morgan,4210000000,38300000000,18790000000,17.04,USA
Manulife Financial,4200000000,35000000000,21530000000,18.99,Canada
United Airlines Holdings,4200000000,17540000000,48810000000,53.5,USA
KBC,4180000000,28640000000,9440000000,68.5,Belgium
Air Liquide,4180000000,95950000000,32050000000,183.86,France
SAIC Motor,4150000000,23090000000,1.0977E+11,1.98,China
Southern Copper,4140000000,57540000000,10070000000,74.44,USA
KB Financial Group,4130000000,14790000000,10730000000,37.97,S. Korea
Yapı Kredi,4120000000,4570000000,6800000000,0.54,Turkey
Illinois Tool Works,4110000000,75360000000,16010000000,247.99,USA
ENEOS Holdings,4110000000,10490000000,1.0969E+11,3.47,Japan
LyondellBasell,4110000000,30000000000,47540000000,92.24,USA
PBF Energy,4070000000,5120000000,46980000000,40.65,USA
Hess,4070000000,41620000000,11420000000,135.56,USA
Sun Hung Kai Properties,4050000000,37940000000,9900000000,13.09,Hong Kong
Exelon Corporation,4020000000,40980000000,19310000000,41.21,USA
Tenaris,4020000000,16670000000,13530000000,28.25,Luxembourg
Infosys,4000000000,65770000000,18210000000,15.83,India
KLA,3960000000,63780000000,10620000000,464.89,USA
Bank Mandiri,3950000000,32170000000,8290000000,0.34,Indonesia
Southern Company,3950000000,78240000000,29110000000,71.76,USA
Bank of Beijing,3930000000,13980000000,9410000000,0.66,China
Hana Financial Group,3930000000,9260000000,9330000000,32.15,S. Korea
Galp Energia,3920000000,9770000000,27410000000,11.92,Portugal
Marriott International,3910000000,53490000000,22180000000,176.36,USA
Dow,3910000000,37600000000,53480000000,53.16,USA
Seadrill,3910000000,3080000000,1190000000,38.62,Bermuda
Jingdong Mall,3890000000,62420000000,1.5232E+11,39.85,China
CME Group,3890000000,66220000000,5110000000,184.11,USA
China Yangtze Power,3890000000,76300000000,8370000000,3.12,China
GarantiBank,3880000000,5340000000,7920000000,1.27,Turkey
Infineon,3870000000,54280000000,16570000000,41.67,Germany
Housing Development Finance Corporation,3870000000,59790000000,13740000000,32.35,India
China Pacific Insurance,3870000000,34620000000,67780000000,4,China
Banco Bradesco,3850000000,37290000000,20270000000,3.51,Brazil
Banco Santander Brasil,3830000000,47680000000,8430000000,6.39,Brazil
Saudi Telecom Company,3820000000,58610000000,18280000000,11.77,S. Arabia
MediaTek,3820000000,39020000000,16420000000,24.52,Taiwan
Teck Resources,3810000000,21630000000,13020000000,41.96,Canada
Dominion Energy,3810000000,44580000000,18140000000,53.33,USA
PayPal,3810000000,74110000000,28070000000,66.43,USA
Westpac Banking,3800000000,50410000000,7850000000,14.39,Australia
The Mosaic Company,3800000000,11890000000,18800000000,35.82,USA
Erste Group Bank,3790000000,14100000000,9290000000,34.66,Austria
NXP Semiconductors,3760000000,51390000000,13190000000,197.85,Netherlands
Keyence,3760000000,1.2271E+11,6670000000,505.97,Japan
Reckitt Benckiser,3740000000,55640000000,14990000000,77.56,UK
Bank of Ningbo,3730000000,24440000000,8570000000,3.7,China
Walmex,3710000000,70850000000,43170000000,4.04,Mexico
Alimentation Couche-Tard,3710000000,48040000000,72020000000,48.96,Canada
Fresenius,3690000000,15940000000,42990000000,28.31,Germany
ABB,3690000000,69020000000,30340000000,37.13,Switzerland
South32,3690000000,12290000000,9260000000,2.7,Australia
TC Energy,3680000000,40640000000,10190000000,40.59,Canada
Biogen,3680000000,43050000000,10100000000,297.48,USA
Colgate-Palmolive,3660000000,64520000000,18330000000,77.78,USA
Bank of Shanghai,3650000000,12330000000,8530000000,0.87,China
SBI Holdings,3650000000,5440000000,6250000000,20.01,Japan
Saudi Electricity,3650000000,25340000000,18410000000,6.08,S. Arabia
Bank of New York Mellon,3640000000,35230000000,16460000000,44.65,USA
Aon,3620000000,67270000000,12680000000,329.38,UK
POSCO,3610000000,23070000000,65360000000,75.98,S. Korea
Bank Central Asia,3610000000,74670000000,6200000000,0.61,Indonesia
Delta Air Lines,3590000000,27500000000,53990000000,42.79,USA
Skandinaviska Enskilda Banken,3570000000,24010000000,6550000000,11.4,Sweden
Bajaj Finserv,3560000000,29320000000,9670000000,18.41,India
PulteGroup,3520000000,16400000000,16610000000,73.51,USA
Kühne + Nagel,3520000000,35070000000,38110000000,293.25,Switzerland
