Name,Revenue,Multiplicative,Share Price,Country
T-Mobile US,79.08,1000000000,130.93,USA
Evergrande,77.77,1000000000,0.21,China
Albertsons,77.64,1000000000,21.37,USA
Wells Fargo,76.92,1000000000,42.18,USA
Citigroup,76.52,1000000000,48.19,USA
ArcelorMittal,76.50,1000000000,28.12,Luxembourg
Maersk,76.44,1000000000,"1,790",Denmark
Repsol,76.29,1000000000,14.99,Spain
Sysco,75.55,1000000000,73.39,USA
ConocoPhillips,75.54,1000000000,104.92,USA
TSMC,74.55,1000000000,104.57,Taiwan
Foxconn Industrial Internet,74.27,1000000000,3.38,China
Vanke,73.94,1000000000,1.44,China
Nissan,73.42,1000000000,3.87,Japan
Marubeni,72.25,1000000000,17.49,Japan
Toyota Tsusho,72.17,1000000000,52.90,Japan
Munich RE (Münchener Rück),72.07,1000000000,361.18,Germany
Alimentation Couche-Tard,72.02,1000000000,48.96,Canada
Lenovo,70.86,1000000000,1.09,Hong Kong
JBS,70.71,1000000000,3.72,Brazil
Boeing,70.53,1000000000,219.99,USA
Vodafone,69.89,1000000000,9.47,UK
Kia,69.64,1000000000,64.23,S. Korea
MetLife,69.53,1000000000,55.50,USA
Orange,69.46,1000000000,11.28,France
Aeon,69.40,1000000000,20.10,Japan
Idemitsu Kosan,69.24,1000000000,20.69,Japan
General Electric,69.01,1000000000,106.29,USA
Raytheon Technologies,68.57,1000000000,97.74,USA
Dai-ichi Life Holdings,68.55,1000000000,18.72,Japan
Roche,68.50,1000000000,314.07,Switzerland
China Pacific Insurance,67.78,1000000000,4.00,China
Zurich Insurance Group,67.33,1000000000,481.12,Switzerland
Vinci,66.95,1000000000,120.95,France
Bunge,66.68,1000000000,96.43,USA
BNP Paribas,66.50,1000000000,61.93,France
Lockheed Martin,66.14,1000000000,459.17,USA
POSCO,65.36,1000000000,75.98,S. Korea
BHP Group,65.09,1000000000,63.17,Australia
StoneX Group,64.48,1000000000,89.95,USA
China Telecom,64.29,1000000000,0.50,China
MS&AD Insurance,63.80,1000000000,36.95,Japan
Accenture,63.14,1000000000,319.54,Ireland
LG Electronics,62.84,1000000000,97.99,S. Korea
HSBC,62.74,1000000000,39.18,UK
Country Garden,62.40,1000000000,0.24,China
BYD,62.14,1000000000,38.08,China
TD Synnex,61.99,1000000000,96.77,USA
Caterpillar,61.70,1000000000,245.27,USA
Panasonic,61.54,1000000000,11.83,Japan
Airbus,61.40,1000000000,143.62,Netherlands
SK Innovation,61.14,1000000000,94.29,S. Korea
HCA Healthcare,60.87,1000000000,290.08,USA
IBM,60.58,1000000000,137.48,USA
Iberdrola,60.11,1000000000,12.94,Spain
OMV,59.82,1000000000,43.75,Austria
HP,59.78,1000000000,31.00,USA
Deere & Company,59.67,1000000000,407.63,USA
World Fuel Services,59.14,1000000000,24.26,USA
Prudential Financial,59.03,1000000000,87.03,USA
EnBW Energie,58.85,1000000000,93.50,Germany
Nippon Steel,58.83,1000000000,21.27,Japan
Anheuser-Busch Inbev,58.76,1000000000,58.21,Belgium
Bharat Petroleum,58.22,1000000000,4.60,India
Unilever,58.20,1000000000,51.93,UK
COSCO Shipping,57.98,1000000000,1.52,China
Korea Electric Power,57.88,1000000000,7.41,S. Korea
Merck,57.86,1000000000,109.32,USA
Enterprise Products,57.62,1000000000,26.39,USA
Performance Food Group,56.97,1000000000,56.31,USA
AbbVie,56.74,1000000000,138.64,USA
Santander,56.43,1000000000,3.49,Spain
Intel,56.41,1000000000,36.37,USA
Daimler Truck,56.14,1000000000,35.71,Germany
Plains GP,55.98,1000000000,14.02,USA
Plains All American Pipeline,55.98,1000000000,13.36,USA
Rio Tinto,55.55,1000000000,67.55,UK
American Express,55.40,1000000000,172.21,USA
Cisco,54.89,1000000000,52.07,USA
Compagnie de Saint-Gobain,54.83,1000000000,61.52,France
Charter Communications,54.47,1000000000,341.24,USA
Hindustan Petroleum,54.05,1000000000,3.34,India
Delta Air Lines,53.99,1000000000,42.79,USA
Tyson Foods,53.62,1000000000,50.39,USA
Koç Holding,53.51,1000000000,4.21,Turkey
Dow,53.48,1000000000,53.16,USA
CATL,53.36,1000000000,32.46,China
Bayer,53.02,1000000000,57.16,Germany
Allstate,52.86,1000000000,111.17,USA
Société Générale,52.47,1000000000,25.43,France
American Airlines,52.26,1000000000,16.48,USA
Novartis,52.22,1000000000,101.83,Switzerland
Progressive,52.04,1000000000,129.99,USA
American International Group,51.78,1000000000,57.30,USA
Talanx,51.77,1000000000,58.90,Germany
Midea,50.99,1000000000,8.20,China
Nike,50.62,1000000000,113.59,USA
China Shenhua Energy,50.41,1000000000,4.21,China
Cenovus Energy,50.32,1000000000,16.65,Canada
TJX Companies,50.31,1000000000,81.26,USA
Morgan Stanley,49.92,1000000000,88.09,USA
Renault,49.68,1000000000,40.24,France
Sumitomo,49.68,1000000000,21.92,Japan
SABIC,49.45,1000000000,23.56,S. Arabia
CM Bank,49.23,1000000000,4.83,China
SoftBank,49.04,1000000000,47.32,Japan
United Airlines Holdings,48.81,1000000000,53.50,USA
PKN Orlen,48.75,1000000000,16.43,Poland
Cement Roadstone Holding,48.73,1000000000,53.14,Ireland
Tokio Marine,48.63,1000000000,24.02,Japan
Sanofi,48.25,1000000000,52.04,France
China Unicom,48.22,1000000000,0.72,Hong Kong
Oracle,47.95,1000000000,125.46,USA
Fortum,47.77,1000000000,14.17,Finland
Volvo Group,47.56,1000000000,20.50,Sweden
LyondellBasell,47.54,1000000000,92.24,USA
PBF Energy,46.98,1000000000,40.65,USA
Veolia,46.84,1000000000,32.11,France
Goldman Sachs,46.65,1000000000,338.31,USA
Bouygues,46.58,1000000000,33.34,France
Best Buy,46.29,1000000000,79.79,USA
Denso,46.16,1000000000,68.45,Japan
Bristol-Myers Squibb,45.84,1000000000,66.16,USA
Traton,45.08,1000000000,21.55,Germany
Chubb,44.70,1000000000,194.94,Switzerland
Mitsubishi UFJ Financial,44.46,1000000000,6.93,Japan
AstraZeneca,43.83,1000000000,75.22,UK
Thermo Fisher Scientific,43.80,1000000000,537.30,USA
Swiss Re,43.74,1000000000,99.12,Switzerland
Coca-Cola,43.49,1000000000,61.67,USA
Thyssenkrupp,43.31,1000000000,7.94,Germany
Imperial Oil,43.31,1000000000,49.73,Canada
America Movil,43.18,1000000000,22.02,Mexico
Walmex,43.17,1000000000,4.04,Mexico
George Weston,43.05,1000000000,115.02,Canada
Fresenius,42.99,1000000000,28.31,Germany
Pegatron,42.85,1000000000,2.59,Taiwan
Suncor Energy,42.81,1000000000,30.14,Canada
Loblaw Companies,42.65,1000000000,87.16,Canada
Wilmar International,42.64,1000000000,3.04,Singapore
Telefónica,42.53,1000000000,3.86,Spain
Power Financial,42.38,1000000000,14.16,Canada
Continental,42.34,1000000000,78.83,Germany
KDDI,42.27,1000000000,32.00,Japan
Hyundai Mobis,41.95,1000000000,174.34,S. Korea
Woolworths Group,41.86,1000000000,26.58,Australia
Abbott Laboratories,41.50,1000000000,106.20,USA
LG Chem,41.47,1000000000,584.80,S. Korea
Vale,41.46,1000000000,14.44,Brazil
Warner Bros. Discovery,41.35,1000000000,12.80,USA
QUALCOMM,41.06,1000000000,122.68,USA
L'Oréal,40.97,1000000000,454.29,France
Quanta Computer,40.60,1000000000,4.86,Taiwan
Korea Gas,40.25,1000000000,20.23,S. Korea
Zijin Mining,39.96,1000000000,1.69,China
General Dynamics,39.89,1000000000,217.34,USA
Nucor,39.72,1000000000,151.41,USA
Sberbank,39.24,1000000000,1.95,Russia
JFE Holdings,38.91,1000000000,14.53,Japan
Magna International,38.87,1000000000,56.99,Canada
Rajesh Exports,38.85,1000000000,7.57,India
Xiaomi,38.59,1000000000,1.41,China
Royal Bank Of Canada,38.54,1000000000,95.45,Canada
S.F. Express,38.50,1000000000,6.99,China
Power Corporation of Canada,38.48,1000000000,26.74,Canada
Bank of Communications,38.48,1000000000,0.82,China
HF Sinclair,38.31,1000000000,46.00,USA
RWE,38.30,1000000000,44.24,Germany
Kühne + Nagel,38.11,1000000000,293.25,Switzerland
Sainsbury's,37.98,1000000000,3.45,UK
Dollar General,37.84,1000000000,164.32,USA
The Travelers Companies,37.78,1000000000,176.75,USA
Jardine Matheson,37.72,1000000000,50.28,Hong Kong
Enbridge,37.57,1000000000,37.48,Canada
Old Mutual,37.43,1000000000,0.67,South Africa
Northrop Grumman,37.10,1000000000,458.35,USA
Oil & Natural Gas,37.04,1000000000,1.92,India
Ecopetrol,36.85,1000000000,10.45,eu Colombia
Arrow Electronics,36.78,1000000000,138.45,USA
Mitsubishi Electric,36.60,1000000000,14.52,Japan
Schneider Electric,36.60,1000000000,178.43,France
Fomento Económico Mexicano,36.39,1000000000,111.19,Mexico
Imperial Brands,36.35,1000000000,22.48,UK
Nutrien,36.33,1000000000,60.07,Canada
Longfor Group,36.33,1000000000,2.62,China
ENKA,36.30,1000000000,1.18,Turkey
Toronto Dominion Bank,36.14,1000000000,61.16,Canada
Haier Smart Home,36.03,1000000000,3.35,China
Honeywell,35.95,1000000000,202.97,USA
Lufthansa,35.89,1000000000,10.30,Germany
Huaneng Power,35.72,1000000000,1.19,China
Daiwa House,35.51,1000000000,26.69,Japan
Occidental Petroleum,35.51,1000000000,58.15,USA
Grupo ACS,35.31,1000000000,34.63,Spain
Casino Guichard-Perrachon,35.16,1000000000,8.50,France
Jabil,35.12,1000000000,105.36,USA
Anglo American,35.11,1000000000,32.52,UK
Canadian Natural Resources,35.11,1000000000,55.01,Canada
Capital One,34.98,1000000000,110.07,USA
US Foods,34.80,1000000000,41.65,USA
State Bank of India,34.76,1000000000,6.97,India
GlaxoSmithKline,34.70,1000000000,35.15,UK
Sompo Holdings,34.55,1000000000,46.09,Japan
Broadcom,34.41,1000000000,868.11,USA
Postal Savings Bank of China,34.02,1000000000,0.72,China
Starbucks,33.99,1000000000,101.87,USA
Lennar,33.95,1000000000,120.02,USA
Inditex,33.87,1000000000,18.84,Spain
Uber,33.84,1000000000,43.52,USA
Mitsubishi Chemical Holdings,33.66,1000000000,5.91,Japan
D. R. Horton,33.65,1000000000,116.40,USA
CK Hutchison Holdings,33.65,1000000000,6.30,Hong Kong
UBS,33.48,1000000000,20.41,Switzerland
Hapag-Lloyd,33.48,1000000000,205.71,Germany
Volvo Car,33.46,1000000000,4.24,Sweden
3M,33.43,1000000000,104.54,USA
Linde,33.34,1000000000,375.29,UK
Cheniere Energy,33.25,1000000000,148.68,USA
Suzuki Motor,33.05,1000000000,35.98,Japan
Siemens Energy,32.94,1000000000,25.18,Germany
Mondelez,32.89,1000000000,73.57,USA
Great-West Lifeco,32.83,1000000000,29.05,Canada
Tata Steel,32.71,1000000000,1.39,India
SAP,32.70,1000000000,137.28,Germany
CRRC,32.55,1000000000,0.62,China
Molina Healthcare,32.35,1000000000,278.02,USA
Metro AG,32.32,1000000000,8.16,Germany
Wistron Corporation,32.12,1000000000,2.62,Taiwan
Air Liquide,32.05,1000000000,183.86,France
Philip Morris,32.03,1000000000,94.89,USA
Aisin Seiki,32.02,1000000000,31.22,Japan
BT Group,32.00,1000000000,1.74,UK
S-OIL,31.97,1000000000,57.14,S. Korea
Netflix,31.90,1000000000,431.96,USA
Industrial Bank,31.65,1000000000,2.39,China
X5 Retail Group,31.63,1000000000,17.96,Netherlands
CJ Group,31.48,1000000000,63.36,S. Korea
Luxshare Precision,31.43,1000000000,4.16,China
Mitsubishi Heavy Industries,31.40,1000000000,48.62,Japan
NRG Energy,31.36,1000000000,34.12,USA
Salesforce,31.35,1000000000,211.76,USA
CITIC Bank,31.23,1000000000,0.86,China
Visa,30.98,1000000000,228.91,USA
Danaher,30.95,1000000000,241.80,USA
CBRE Group,30.90,1000000000,77.81,USA
Paccar,30.82,1000000000,78.63,USA
Bridgestone,30.80,1000000000,42.81,Japan
Medtronic,30.77,1000000000,89.15,Ireland
Barclays,30.76,1000000000,7.93,UK
AntarChile,30.76,1000000000,9.31,Chile
Empresas Copec,30.76,1000000000,7.34,Chile
Heineken,30.75,1000000000,104.55,Netherlands
Michelin,30.61,1000000000,30.07,France
Edison,30.58,1000000000,1.52,Italy
Banco Bilbao Vizcaya Argentaria,30.48,1000000000,7.45,Spain
Flex,30.34,1000000000,26.77,Singapore
Canon,30.34,1000000000,27.00,Japan
ABB,30.34,1000000000,37.13,Switzerland
Meituan,30.21,1000000000,17.64,China
DSV,30.18,1000000000,199.37,Denmark
Cummins,30.14,1000000000,235.81,USA
Paramount Global,30.09,1000000000,16.28,USA
Ferguson,30.01,1000000000,151.07,UK
Schlumberger,29.86,1000000000,47.78,USA
United Natural Foods,29.86,1000000000,20.94,USA
Fannie Mae,29.84,1000000000,2.77,USA
CarMax,29.68,1000000000,79.63,USA
Takeda Pharmaceutical,29.61,1000000000,16.09,Japan
Air France-KLM,29.51,1000000000,1.97,France
Endesa,29.43,1000000000,22.95,Spain
Hewlett Packard Enterprise,29.34,1000000000,17.57,USA
Poste Italiane,29.29,1000000000,11.04,Italy
Southern Company,29.11,1000000000,71.76,USA
Duke Energy,28.91,1000000000,92.18,USA
Sumitomo Denki Kōgyō,28.85,1000000000,12.50,Japan
Centrica,28.77,1000000000,1.52,UK
Randstad,28.73,1000000000,53.23,Netherlands
Lithia Motors,28.49,1000000000,271.79,USA
Compass Group,28.49,1000000000,27.80,UK
Deutsche Bank,28.48,1000000000,10.42,Germany
Daikin,28.36,1000000000,211.04,Japan
Dollar Tree,28.33,1000000000,136.22,USA
EOG Resources,28.31,1000000000,113.41,USA
Hochtief,28.31,1000000000,86.82,Germany
SK Hynix,28.29,1000000000,93.58,S. Korea
Penske Automotive,28.17,1000000000,153.72,USA
WH Group,28.13,1000000000,0.55,Hong Kong
PayPal,28.07,1000000000,66.43,USA
Gree Electric Appliances,28.03,1000000000,5.21,China
Shanghai Pudong Development Bank,27.93,1000000000,1.04,China
Fujitsu,27.80,1000000000,135.17,Japan
Sumitomo Mitsui Financial Group,27.76,1000000000,8.26,Japan
Türkiye Petrol Rafinerileri,27.75,1000000000,3.09,Turkey
Chubu Electric Power,27.72,1000000000,12.21,Japan
Formosa Petrochemical,27.72,1000000000,2.82,Taiwan
Tata Consultancy Services,27.71,1000000000,38.75,India
Eli Lilly,27.69,1000000000,447.71,USA
KEPCO,27.60,1000000000,12.70,Japan
Tata Motors,27.57,1000000000,6.95,India
Mazda,27.52,1000000000,9.72,Japan
DCC plc,27.50,1000000000,58.77,Ireland
Hindalco Industries,27.47,1000000000,5.21,India
Galp Energia,27.41,1000000000,11.92,Portugal
Fairfax Financial,27.40,1000000000,735.95,Canada
BayWa,27.40,1000000000,58.68,Germany
Aluminum Corporation of China,27.27,1000000000,0.82,China
Faurecia,27.26,1000000000,23.29,France
Umicore,27.24,1000000000,30.29,Belgium
Ultrapar Participacoes,27.20,1000000000,3.62,Brazil
Coles Group,27.08,1000000000,12.45,Australia
Gilead Sciences,27.04,1000000000,78.86,USA
Kraft Heinz,26.92,1000000000,36.99,USA
Itaú Unibanco,26.90,1000000000,5.90,Brazil
Parkland Corp,26.90,1000000000,25.71,Canada
DiDi,26.87,1000000000,2.97,China
Holcim Group,26.85,1000000000,66.73,Switzerland
Jerónimo Martins,26.69,1000000000,27.61,Portugal
Applied Materials,26.63,1000000000,138.93,USA
Nokia,26.63,1000000000,4.28,Finland
AutoNation,26.63,1000000000,149.16,USA
Neste,26.62,1000000000,43.54,Finland
Subaru,26.57,1000000000,18.98,Japan
Novo Nordisk,26.55,1000000000,161.29,Denmark
Ericsson,26.53,1000000000,5.43,Sweden
Constellation Energy,26.41,1000000000,92.89,USA
Avnet,26.35,1000000000,48.01,USA
Ampol,26.26,1000000000,21.20,Australia
EssilorLuxottica,26.23,1000000000,189.27,France
Amgen,26.19,1000000000,229.66,USA
China Overseas Land & Investment,26.14,1000000000,2.29,Hong Kong
MOL Group,26.12,1000000000,8.66,Hungary
Johnson Controls,26.09,1000000000,65.47,Ireland
Zhongsheng Group,26.07,1000000000,4.10,China
China Merchants Shekou Industrial Zone,26.01,1000000000,1.89,China
Ping An Bank,25.91,1000000000,1.63,China
Weichai Power,25.90,1000000000,1.52,China
NVIDIA,25.87,1000000000,426.92,USA
BAE Systems,25.76,1000000000,12.37,UK
U.S. Bancorp,25.75,1000000000,33.45,USA
Sunoco,25.68,1000000000,44.98,USA
Hannover Rück,25.64,1000000000,208.89,Germany
ASML,25.59,1000000000,721.88,Netherlands
Fosun,25.43,1000000000,0.71,China
Toshiba,25.30,1000000000,32.34,Japan
Macy's,25.30,1000000000,15.85,USA
Wesfarmers,25.23,1000000000,33.74,Australia
Adecco Group,25.22,1000000000,31.90,Switzerland
Recruit,25.20,1000000000,35.16,Japan
Union Pacific Corporation,25.07,1000000000,204.67,USA
Komatsu,25.00,1000000000,27.16,Japan
Magnit,24.90,1000000000,59.59,Russia
Southwest Airlines,24.82,1000000000,34.25,USA
Nextera Energy,24.78,1000000000,75.59,USA
CNOOC,24.49,1000000000,1.44,China
Olam,24.28,1000000000,1.08,Singapore
CNH Industrial,24.24,1000000000,14.53,UK
CP All,24.10,1000000000,1.87,Thailand
Rite Aid,24.09,1000000000,1.84,USA
NEC Corp,24.08,1000000000,49.46,Japan
Wanhua Chemical,24.06,1000000000,12.82,China
BOE Technology,24.06,1000000000,0.57,China
International Consolidated Airlines,24.05,1000000000,2.10,Spain
Toyota Industries,24.05,1000000000,71.45,Japan
Japan Post Insurance,23.98,1000000000,14.95,Japan
Truist Financial,23.81,1000000000,31.90,USA
Scotiabank,23.68,1000000000,50.16,Canada
Adidas,23.63,1000000000,191.39,Germany
Capgemini,23.55,1000000000,195.81,France
Empire Company,23.50,1000000000,26.35,Canada
Banco do Brasil,23.45,1000000000,10.30,Brazil
NTT Data,23.43,1000000000,15.22,Japan
McDonald,23.41,1000000000,293.70,USA
Murphy USA,23.40,1000000000,289.23,USA
Merck KGaA,23.35,1000000000,182.01,Germany
Yankuang Energy (Yanzhou Coal Mining),23.18,1000000000,4.04,China
Intesa Sanpaolo,23.14,1000000000,2.60,Italy
Isuzu,23.10,1000000000,12.58,Japan
Sun Life Financial,23.08,1000000000,50.91,Canada
AMD,23.06,1000000000,120.08,USA
Micron Technology,23.06,1000000000,67.66,USA
Tōkyō Gas,23.05,1000000000,22.73,Japan
National Grid,23.04,1000000000,67.93,UK
Swiss Life,23.02,1000000000,603.56,Switzerland
CDW Corporation,22.90,1000000000,178.15,USA
Pioneer Natural Resources,22.83,1000000000,206.80,USA
Mastercard,22.81,1000000000,376.53,USA
The Hartford,22.79,1000000000,71.88,USA
LG Energy Solution,22.76,1000000000,462.81,S. Korea
Corebridge Financial,22.68,1000000000,16.47,USA
Mapfre,22.67,1000000000,2.01,Spain
Bank of Montreal,22.65,1000000000,90.21,Canada
Harmony Gold,22.62,1000000000,4.51,South Africa
Sherwin-Williams,22.59,1000000000,247.89,USA
Siemens Healthineers,22.58,1000000000,57.81,Germany
Genuine Parts Company,22.56,1000000000,161.47,USA
Lloyds Banking Group,22.56,1000000000,2.27,UK
UniCredit,22.52,1000000000,21.08,Italy
Larsen & Toubro,22.50,1000000000,28.89,India
Henkel,22.49,1000000000,80.78,Germany
C. H. Robinson,22.49,1000000000,94.62,USA
New China Life Insurance,22.45,1000000000,5.37,China
NN Group,22.44,1000000000,35.83,Netherlands
Sumitomo Chemical,22.42,1000000000,3.09,Japan
Eiffage,22.36,1000000000,110.58,France
Cleveland-Cliffs,22.32,1000000000,16.47,USA
Marriott International,22.18,1000000000,176.36,USA
H&M,22.15,1000000000,14.47,Sweden
Bolloré,22.14,1000000000,6.05,France
Yara International,22.11,1000000000,35.90,Norway
Pacific Gas and Electric,22.09,1000000000,17.40,USA
Baker Hughes,22.03,1000000000,30.57,USA
Crédit Agricole,22.02,1000000000,11.86,France
WESCO International,22.00,1000000000,168.05,USA
PNC Financial Services,21.98,1000000000,128.47,USA
China Everbright Bank,21.91,1000000000,0.44,China
Kering,21.79,1000000000,577.73,France
HeidelbergCement,21.78,1000000000,79.94,Germany
Samsung Life Insurance,21.77,1000000000,52.34,S. Korea
Compagnie Financière Richemont,21.75,1000000000,168.85,Switzerland
Sekisui House,21.71,1000000000,19.34,Japan
Halliburton,21.69,1000000000,32.58,USA
NTPC Limited,21.67,1000000000,2.30,India
British American Tobacco,21.64,1000000000,32.82,UK
Steel Dynamics,21.58,1000000000,102.53,USA
Freeport-McMoRan,21.56,1000000000,39.89,USA
Manulife Financial,21.53,1000000000,18.99,Canada
Lear Corporation,21.52,1000000000,143.06,USA
ASE Group,21.47,1000000000,8.85,Taiwan
Oneok,21.46,1000000000,60.95,USA
Valeo,21.45,1000000000,22.87,France
Geely,21.45,1000000000,1.27,China
ING,21.43,1000000000,13.40,Netherlands
Eaton,21.39,1000000000,191.26,Ireland
Tohoku Electric Power,21.33,1000000000,6.28,Japan
Coupang,21.26,1000000000,17.28,S. Korea
Charles Schwab,21.20,1000000000,54.40,USA
Hera Group,21.15,1000000000,3.18,Italy
New Hope Liuhe,21.13,1000000000,1.68,China
Westrock,21.12,1000000000,29.48,USA
China Minsheng Bank,21.12,1000000000,0.55,China
Marsh & McLennan Companies,21.09,1000000000,181.15,USA
Kubota,21.09,1000000000,15.65,Japan
Carrier,21.04,1000000000,46.88,USA
International Paper,20.94,1000000000,31.98,USA
Builders FirstSource,20.92,1000000000,121.41,USA
Goodyear,20.83,1000000000,13.57,USA
Jones Lang LaSalle,20.77,1000000000,151.02,USA
Shimao Property,20.75,1000000000,0.57,Hong Kong
Atacadão,20.73,1000000000,2.25,Brazil
Fujifilm,20.73,1000000000,62.56,Japan
Norsk Hydro,20.64,1000000000,6.88,Norway
Altria Group,20.63,1000000000,44.07,USA
Astra International,20.62,1000000000,0.46,Indonesia
Shin-Etsu Chemical,20.62,1000000000,34.90,Japan
Targa Resources,20.49,1000000000,71.79,USA
EDP Group,20.48,1000000000,5.07,Portugal
Fresenius Medical Care,20.45,1000000000,23.57,Germany
Hyundai Glovis,20.43,1000000000,151.67,S. Korea
Brenntag,20.30,1000000000,78.87,Germany
U.S. Steel,20.30,1000000000,23.41,USA
Banco Bradesco,20.27,1000000000,3.51,Brazil
Kimberly-Clark,20.27,1000000000,137.68,USA
